ID		Forename	Surname	Address 1	Address 2 	Address 3	Address 4	Address 5	Address 6	Phone 1	Phone 2	Date of Birth	Status	Tenure	Spend YTD
803968866	Mr	Anthony	O'Connell	Flat 1, 22 High Street	Wooten	Sometown	Berks	RG12 1JG		0118 989 1421	+775 914 8923	19480101	L	1	6.4
810595090	Mr	Tony	O'Connell	flat 1, 22 High St	Wooten,Sometown, Rg12   1 Jg					0118 989421	+575 914 8923	1011948	L	1	10.27
832038364	Mr	A	O'Connell	22 High Str	Wooten	Some town	Berks	RG12 1JG		1181125427		01/01/1948	L	20	16.33
889243863	Rev	T	Oconnell	22 High St.	Flat 1	Wootten	Sometown	Berkshire	RG12 1JG	1181125427		01/01/1948	L	1	26.5
875728865	Mr	Antony	Oconnell	Flat 1, 22 High Street						4.40118E+12		01.01.1948	L	1	37.33
815327864	Mr	G	Jones	1 Market St	Nr station	Bracknell	RG12 1JG	Hants		4.41181E+11		2291949	L	1	50.69
806884822	Mr	George	Jones	1 Market str	Bracknell	RG12 1JG	Hants			2061237862		1949/02/29	L	1	66.75
821645314	ms	Georgie	Jones	1  market  street.	Bracknell	Hants	RG12 1JG			2071237862		29-02-1949	D	1	81.87
887115137	Mr	Greg 	Flowers	48 Adamson rd	London	NW3 3HU							L	1	100.88
860265199	Mr	Audrey 	Bowden-Greg	21 Adamsonn rosd	London	NW3 3HU							L	1	122.51
807000425	Mr	Matthew	Brown	21 Adamson str	London	NW3 3HU							L	2	145.49
866659473	mis	Hayley	Gretl;	21 Adamson str	London	NW3 9XX							L	1	170.26
832947282	Mr	Grodon	Yeat3s	12 the Avenue	Woodley	Stockport	Rg 53ra	Berkshire					L	1	19a6.302764837389
878586750	Mr	Ambrose	Zephyr	14 High Street	Woodley	Stockport	Rg 53ra	Berkshire					L	1	226.7
851656553	Mrzs	Amer	Granada	14 High St	Woodley	Stockport	Rg 53ra	Berk					L	1	256.13
895009712	Cmd	Brian	Consul	14 High St.	Woodley	Stockport	Rg 53ra	Berkshire					L	3	290.35
829631760	Mr	Clive	?	14 High Str	Woodley	Stockport	Rg 53ra	Berkshire				??/4/1945	dead	1	326.87
808055006	Mr	Dave		14 High Str.	Woodley	Stockport	Rg 53ra	Berkshire				29/03/2000	L	1	
890174656		David	Cortina	14  High  Street	Woodley	Stockport	Rg 53ra	Berks					L	1	400.5
878599386		Eddie	Oxford	14   High    St	Woodley	Stockport	Rg 53ra	Barkshire					d	1	443
802665696		Edward	Cambridge	 High St. 14	Woodley	Stockport	Rg 53ra	Royal Barkshire					L	4	484.57
882635048		Frances	Javallin	High 14 Str	Woodley	Stockport	Rg 53ra	Royal Berks		0118 989 1421			?	1	530.25
869213385	Mr	Francis	triumph	High Str.    14	Wokingham	Stockport	Rg 53ra	Barks		0118 989421			L	1	578.41
888932685	Mr	Geoff	Black	14 High Ave	Wokingham	salop				1181125427			L	1	627.08
884322681	Mr	Jeff	White	14 High Avenue	Wokingham	middx				1181125427			L	1	678.24
862703424	?	Anagtolie	Green	14 High Ave.	Wokingham	notts				4.40118E+12			D	8	729.65
868580437	Mr	Harry	Smith	14 High Avenue.	Wokingham	nw3				4.41181E+11		29/03/1940	L	1	784.41
900005877	Mr	Hubert	Smyth	14 High cres	Wokingham	lundon				2061237862		29/03/1840	L	1	841.73
857226605	Msr	H	Smythe	14 High crescent	Wokingham	edinborough				2071237862			L	1	900.85
865800174	Mr & Mrs	Hettie	"Brown-Smith"	14 High cres.	Wokingham	edinboro							L	20	961.95
850679604	Mr	Ian	Bowles	14 High cresent.	Wokingham	new castle							L	1	1026.24
895689772	Mr	Iain	Fielding	mucky duck, the	Tisman's common	West sussex	rh12 3bw						LIVE	1	1090.89
770204839	Mr	Ken	Elliot	the mucky duck	Tismans common	West sussex		rh12 3bw					L	1	1156.19
734201524	Mr	Len	Voltaire	mucky duck, the	Tisman"s comm.	West sussex			rh12 3bw				L	A	1226.76
734201524	Mrs	Anne-marie	Voltaire	mucky duck, the	Tisman"s comm.	West sussex			rh12 3bw				L	A	1226.76
734201524	Ms	mary  kate  	Voltaire	mucky duck, the	Tisman"s comm.	West sussex			rh12 3bw				L	A	1226.76
763546059	Mr	Mark	Farraday	"the mucky duck"	Tismans co	West sussex		rh12 3bw				23/09/1940	L	1	1297.62
742540252	hon	Neris	Newton	35 Coppice Rd	Woodley	Nr Wokingham	RG5 3RA					19480101	Life	1	
753828916	Mr	Oliver	Adams	25 the avenu	m/cr 41	m416gt						1011948	l	?	1445.98
699863761	rt hon	Janice	jameson	25 the avenue	urmston, m/cr 41	m416gt				0118 989 1421		2291948	L	1	1521.73
515617548	Mr	Keith	MAson	25 avenu, the	m/cr 41	m416gt				0118 989421		29/02/1948	L	1	1600.47
410977563	Mr	Pete	GiLmour	25 avenue the	urmston, m/cr 41	m416gt				1181125427		29/02/1948	L		1681.31
		Mr	Quitin	WrighT	5000, Building	Langstone	Havant	Hampshire	P09 1SA		1181125427		2291949	live	
314036448	Mr	Roger	WATERS	bldg 5000	Langstone tech pk	Havant	Hampshire	PO9  1sa		4.40118E+12		1949/02/29	L	1	??
291460328	Mr	steve	DaltRey	bldg 5,000	Langstone technology Park	Hants	Hants			4.41181E+11		29-02-1949	L	1	1936.61
128498484	Mr	trevor	townsend	Building 5,000	Langstone Park	Havant	Hampshire	PO9  1sa		2061237862			L	0	2027.84
45591624	Mr	Unice	Batty	5,000 building	Langstone tech	Havant	ants			2071237862			L	0	2118.67
45591624	Mr	Unice	Batty	5,000 building	Langstone tech	Havant	ants			2071237862			L	0	2118.67
45591624	Mr	Unice	Batty	"5,000 
building"	Langstone tech	Havant	ants			2071237862			L	0	2118.67

